experiment	type	assay	target	tissue	model_annotation	qc	counts sequence contribution scores (bigWig)	counts sequence contribution scores (tar)	sequence motifs instances (tar)	sequence motifs (tar)	sequence motifs report (tar)	models (tar)	predicted signal profile (bigWig)	predicted signal profile (tar)	training and test regions (tar)
ENCSR312UQM	ReporterNet	ATAC-STARR		K562	ENCSR204SXE	passed	ENCFF072FQR	ENCFF355GXH	ENCFF489GRJ	ENCFF966SEU	ENCFF073QQU	ENCFF187OKX	ENCFF506COI	ENCFF039AGL	ENCFF125MBE
ENCSR847SNQ,ENCSR979TSK,ENCSR736XUK,ENCSR045VPN,ENCSR222QJT,ENCSR712VZT,ENCSR843APF,ENCSR554UKK,ENCSR833BYO	ReporterNet	MPRA		HepG2	ENCSR038JJC	passed	ENCFF546KRR	ENCFF005FVQ	ENCFF013WUF	ENCFF053XUP	ENCFF575WUO	ENCFF347FWB	ENCFF619TSO	ENCFF444DKC	
ENCSR857JFG,ENCSR653LWA,ENCSR697PNZ,ENCSR997GVD,ENCSR753ZRI,ENCSR135MRI,ENCSR003TJR,ENCSR971PLA	ReporterNet	MPRA		K562	ENCSR701UIV	passed	ENCFF807PAN	ENCFF938KGP	ENCFF738TSB	ENCFF600COK	ENCFF969AZV	ENCFF093USP	ENCFF239DQI	ENCFF376XGR	
ENCSR623DJZ,ENCSR833GXJ,ENCSR742AAP,ENCSR563TTU,ENCSR505LQA,ENCSR574GPT,ENCSR562GGR,ENCSR386XIB,ENCSR579QGV	ReporterNet	MPRA		SK-N-SH	ENCSR395XKK	passed	ENCFF520KLU	ENCFF113FEI	ENCFF972LVD	ENCFF703CPD	ENCFF176PYB	ENCFF157HRR	ENCFF386VIF	ENCFF432OXI	
ENCSR661FOW	ReporterNet	WG-STARR		K562	ENCSR375XWZ	passed	ENCFF298FVE	ENCFF425FRR	ENCFF106IWG	ENCFF153UTA	ENCFF991TWZ	ENCFF896RRE	ENCFF782ARG	ENCFF541FTP	ENCFF150DPN
ENCSR022GQD	ReporterNet	lentiMPRA		HepG2	ENCSR290IZP	passed	ENCFF976IMO	ENCFF291BDB	ENCFF628UBB	ENCFF650BXM	ENCFF767HWK	ENCFF260DXC	ENCFF421BAN	ENCFF790RCR	
ENCSR382BVV	ReporterNet	lentiMPRA		K562	ENCSR149OFN	passed	ENCFF681MRI	ENCFF404XHD	ENCFF494QYA	ENCFF115NGB	ENCFF904NTM	ENCFF461VLH	ENCFF539IBG	ENCFF607YTD	
ENCSR244FWB	ReporterNet	lentiMPRA		WTC11	ENCSR095JXI	passed	ENCFF943ZCT	ENCFF065MBJ	ENCFF739EYX	ENCFF810SNO	ENCFF448WJR	ENCFF708DSE	ENCFF418JAT	ENCFF914WOS	
