experiment	type	assay	target	tissue	model_annotation	qc	counts sequence contribution scores (bigWig)	counts sequence contribution scores (tar)	profile sequence contribution scores (bigWig)	profile sequence contribution scores (tar)	sequence motifs instances (bed)	sequence motifs instances (bigBed)	sequence motifs (tar)	sequence motifs report (tar)	selected regions for predicted signal and sequence contribution scores (bed)	models (tar)	observed signal profile (minus strand) (bigWig)	observed signal profile (plus strand) (bigWig)	predicted signal profile (minus strand) (bigWig)	predicted signal profile (plus strand) (bigWig)	training and test regions (tar)
ENCSR046BCI	ProCapNet	PRO-cap		A673	ENCSR072YCM	passed	ENCFF496KXS	ENCFF205ATX	ENCFF395XCX	ENCFF993LJR	ENCFF358WWO	ENCFF890XJG	ENCFF630EMW	ENCFF710OHX	ENCFF605QYF	ENCFF508EUP	ENCFF248NRG	ENCFF484JMU	ENCFF568EMG	ENCFF245QOS	ENCFF611RQM
ENCSR100LIJ	ProCapNet	PRO-cap		Caco-2	ENCSR182QNJ	passed	ENCFF773CZW	ENCFF674PEC	ENCFF566GOV	ENCFF925QDB	ENCFF935ACF	ENCFF214LNU	ENCFF982OZL	ENCFF702DZH	ENCFF594CPW	ENCFF575XTL	ENCFF674WYH	ENCFF290ILU	ENCFF512NRZ	ENCFF781NNR	ENCFF603POZ
ENCSR935RNW	ProCapNet	PRO-cap		Calu3	ENCSR797DEF	passed	ENCFF255ZJK	ENCFF838EMK	ENCFF369BLK	ENCFF530ZUR	ENCFF075CBM	ENCFF351WJS	ENCFF083YAU	ENCFF832NQX	ENCFF420WIU	ENCFF180BYW	ENCFF694ACJ	ENCFF726ZFO	ENCFF726MZN	ENCFF297DYW	ENCFF571XHE
ENCSR261KBX	ProCapNet	PRO-cap		K562	ENCSR740IPL	passed	ENCFF399XSL	ENCFF186EVD	ENCFF105JTF	ENCFF407PRC	ENCFF070AVM	ENCFF624OCH	ENCFF804ZPG	ENCFF608IHS	ENCFF271LOH	ENCFF976FHE	ENCFF662SHP	ENCFF798GNW	ENCFF977ZRF	ENCFF810TSX	ENCFF033LJA
ENCSR799DGV	ProCapNet	PRO-cap		MCF 10A	ENCSR860TYZ	passed	ENCFF898JHY	ENCFF220LKE	ENCFF117LHD	ENCFF282QWJ	ENCFF693EHJ	ENCFF264QWB	ENCFF589NBY	ENCFF145DCV	ENCFF187MYU	ENCFF568EGA	ENCFF466PYB	ENCFF460DXE	ENCFF751HYG	ENCFF413SKO	ENCFF941RDG
ENCSR098LLB	ProCapNet	PRO-cap		endothelial cell of umbilical vein	ENCSR801ECP	passed	ENCFF142HSZ	ENCFF956VWD	ENCFF090ECF	ENCFF846XLY	ENCFF139KSH	ENCFF479KIM	ENCFF276YTU	ENCFF316GZQ	ENCFF145VXT	ENCFF822XKO	ENCFF932EJP	ENCFF515GWR	ENCFF130FIR	ENCFF522DPN	ENCFF065FTI
